Filename,MSE,PSNR (dB),Compression Ratio
breast_image_64_gray.png,72.59,29.52,0.66
breast_image_65_color.png,230.42,24.51,1.37
breast_image_66_gray.png,74.21,29.43,0.66
breast_image_67_color.png,234.46,24.43,1.39
breast_image_68_gray.png,74.35,29.42,0.66
breast_image_69_color.png,229.90,24.52,1.37
breast_image_6_gray.png,74.07,29.43,0.65
breast_image_70_gray.png,72.77,29.51,0.66
breast_image_71_color.png,233.86,24.44,1.38
breast_image_72_gray.png,74.47,29.41,0.66
breast_image_73_color.png,233.51,24.45,1.38
breast_image_74_gray.png,73.70,29.46,0.66
breast_image_75_color.png,229.48,24.52,1.37
breast_image_76_gray.png,73.22,29.48,0.66
breast_image_77_color.png,233.82,24.44,1.38
breast_image_78_gray.png,74.93,29.38,0.66
breast_image_79_color.png,233.51,24.45,1.39
breast_image_7_color.png,234.65,24.43,1.39
breast_image_80_gray.png,72.41,29.53,0.66
breast_image_81_color.png,229.81,24.52,1.37
breast_image_82_gray.png,74.91,29.39,0.66
breast_image_83_color.png,228.60,24.54,1.37
breast_image_84_gray.png,74.72,29.40,0.66
breast_image_85_color.png,233.11,24.46,1.39
breast_image_86_gray.png,74.53,29.41,0.66
breast_image_87_color.png,234.33,24.43,1.39
breast_image_88_gray.png,73.89,29.45,0.66
breast_image_89_color.png,233.59,24.45,1.39
breast_image_8_gray.png,74.42,29.41,0.66
breast_image_90_gray.png,74.86,29.39,0.66
